description,address,type,price,size,bedrooms,bathrooms,parking_spaces,modo
"SHCGN 703 Bloco R, ASA NORTE, BRASILIA",,Aluguel Apartamento 83 m²,5.500,83 m²,1 Quarto,,2 Vagas,aluguel
"SHIN QI 5 Conjunto 7, LAGO NORTE, BRASILIA",,Aluguel Casa 750 m²,20.000,750 m²,5 Quartos,,4 Vagas,aluguel
"EQ 09/10 Bloco E, JARDIM BOTANICO, BRASILIA",,Aluguel Sala 35 m²,1.688,35 m²,,,,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,Aluguel Apartamento 162 m²,10.150,162 m²,4 Quartos,,3 Vagas,aluguel
"SBS Quadra 02 Bloco S Lote 01, ASA SUL, BRASILIA",,Aluguel Sala 30 m²,850,30 m²,,,1 Vaga,aluguel
"Rua 4, VICENTE PIRES, VICENTE PIRES",,Aluguel Loja 33 m²,1.550,33 m²,,,,aluguel
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 340 m²,7.900,340 m²,3 Quartos,,4 Vagas,aluguel
"Condomínio Jardim Botânico I, JARDIM BOTANICO, BRASILIA",,Aluguel Apartamento 25 m²,2.300,25 m²,1 Quarto,,,aluguel
"Quadra 20, SETOR OESTE, GAMA",,Aluguel Casa 187 m²,3.300,187 m²,4 Quartos,,3 Vagas,aluguel
"SCS Quadra 02 Bloco C Lote 180, ASA SUL, BRASILIA",,Aluguel Prédio 1176 m²,49.042,1176 m²,,,,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 323 m²,18.500,323 m²,,,5 Vagas,aluguel
"SHIS QL 22 Conjunto 3, LAGO SUL, BRASILIA",,Aluguel Casa 400 m²,13.000,400 m²,4 Quartos,,4 Vagas,aluguel
"SBS Quadra 02 Bloco S Lote 01, ASA SUL, BRASILIA",,Aluguel Sala 255 m²,12.000,255 m²,,,2 Vagas,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 749 m²,52.480,749 m²,,,72 Vagas,aluguel
"SHA Conjunto 6 Chacará 5, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa 400 m²,6.000,400 m²,4 Quartos,,2 Vagas,aluguel
"SHA Conjunto 5 Chacará 44, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa 336 m²,5.500,336 m²,5 Quartos,,4 Vagas,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 42 m²,4.500,42 m²,1 Quarto,,1 Vaga,aluguel
"SQN 116 Bloco B, ASA NORTE, BRASILIA",,Aluguel Apartamento 339 m²,20.000,339 m²,3 Quartos,,3 Vagas,aluguel
"SGCV Lote 13, PARK SUL, BRASILIA",,Aluguel Kitnet 27 m²,3.000,27 m²,1 Quarto,,1 Vaga,aluguel
"Rua 14, NORTE, AGUAS CLARAS",,Aluguel Apartamento 178 m²,7.000,178 m²,4 Quartos,,3 Vagas,aluguel
"SHIS QI 5 Chacarás 13 a 20, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 160 m²,13.000,160 m²,4 Quartos,,4 Vagas,aluguel
"SHIS QL 24 Conjunto 3, LAGO SUL, BRASILIA",,Aluguel Casa 645 m²,20.000,645 m²,4 Quartos,,4 Vagas,aluguel
"Quadra 301 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Apartamento 50 m²,2.150,50 m²,2 Quartos,,1 Vaga,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 119 m²,8.320,119 m²,,,72 Vagas,aluguel
"SEPN 505 Bloco A, ASA NORTE, BRASILIA",,Aluguel Prédio 1318 m²,150.000,1318 m²,,,,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Kitnet 26 m²,4.900,26 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QL 4 Conjunto 1, LAGO SUL, BRASILIA",,Aluguel Casa 970 m²,15.000,970 m²,4 Quartos,,6 Vagas,aluguel
"CLNW 10/11 Lote C, NOROESTE, BRASILIA",,Aluguel Apartamento 32 m²,2.800,32 m²,1 Quarto,,1 Vaga,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 470 m²,13.700,470 m²,4 Quartos,,4 Vagas,aluguel
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",,Aluguel Sala 72 m²,2.892,72 m²,,,,aluguel
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,Aluguel Apartamento 99 m²,11.500,99 m²,3 Quartos,,2 Vagas,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 134 m²,13.000,134 m²,4 Quartos,,2 Vagas,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 374 m²,26.245,374 m²,,,72 Vagas,aluguel
"Quadra 101, NORTE, AGUAS CLARAS",,Aluguel Apartamento 162 m²,5.500,162 m²,3 Quartos,,3 Vagas,aluguel
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",,Aluguel Sala 34 m²,3.726,34 m²,,,,aluguel
"CCSW 2 Lote 3, SUDOESTE, BRASILIA",,Aluguel Apartamento 115 m²,7.500,115 m²,2 Quartos,,1 Vaga,aluguel
"EQS 114/115, ASA SUL, BRASILIA",,Aluguel Sala 27 m²,2.500,27 m²,,,,aluguel
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",,Aluguel Loja 390 m²,25.000,390 m²,,,,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Apartamento 26 m²,5.000,26 m²,1 Quarto,,1 Vaga,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 554 m²,21.530,554 m²,,,8 Vagas,aluguel
"SQS 312 Bloco J, ASA SUL, BRASILIA",,Aluguel Apartamento 320 m²,15.500,320 m²,4 Quartos,,2 Vagas,aluguel
"QS 107 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Prédio 400 m²,100,400 m²,,,,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 98 m²,10.500,98 m²,3 Quartos,,2 Vagas,aluguel
"SHIS QI 28, LAGO SUL, BRASILIA",,Aluguel Casa 620 m²,22.000,620 m²,4 Quartos,,3 Vagas,aluguel
"SBS Quadra 2, ASA SUL, BRASILIA",,Aluguel Sala 480 m²,60.000,480 m²,,,10 Vagas,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 48 m²,3.384,48 m²,,,72 Vagas,aluguel
"SHIS QL 8, LAGO SUL, BRASILIA",,Aluguel Ponto Comercial 600 m²,32.000,600 m²,7 Quartos,,30 Vagas,aluguel
"SQSW 300 Bloco I, SUDOESTE, BRASILIA",,Aluguel Apartamento 240 m²,20.000,240 m²,4 Quartos,,4 Vagas,aluguel
"SHTN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 60 m²,6.500,60 m²,2 Quartos,,2 Vagas,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Apartamento 44 m²,2.700,44 m²,1 Quarto,,1 Vaga,aluguel
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 681 m²,5.500,681 m²,3 Quartos,,6 Vagas,aluguel
"AREA RURAL, SOBRADINHO, SOBRADINHO",,Aluguel Galpão 800 m²,10.000,800 m²,,,,aluguel
"SHIS QL 6, LAGO SUL, BRASILIA",,Aluguel Casa 450 m²,22.000,450 m²,4 Quartos,,4 Vagas,aluguel
"SHTN Trecho 2 Lote 3, ASA NORTE, BRASILIA",,Aluguel Apartamento 31 m²,3.500,31 m²,1 Quarto,,1 Vaga,aluguel
"Condominio Lago Sul, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 320 m²,5.000,320 m²,4 Quartos,,4 Vagas,aluguel
"SMPW Quadra 8, PARK WAY, BRASILIA",,Aluguel Casa 1000 m²,20.900,1000 m²,6 Quartos,,,aluguel
"Rua 36, SUL, AGUAS CLARAS",,Aluguel Loja 78 m²,4.200,78 m²,,,,aluguel
"Rua 28, NORTE, AGUAS CLARAS",,Aluguel Apartamento 69 m²,3.600,69 m²,2 Quartos,,1 Vaga,aluguel
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",,Aluguel Apartamento 50 m²,3.014,50 m²,1 Quarto,,1 Vaga,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Apartamento 135 m²,17.900,135 m²,3 Quartos,,2 Vagas,aluguel
"SRTVS Bloco M Lote 12, ASA SUL, BRASILIA",,Aluguel Loja 380 m²,12.490,380 m²,,,2 Vagas,aluguel
"SHS Quadra 6 Conjunto A Bloco C, ASA SUL, BRASILIA",,Aluguel Loja 390 m²,25.000,390 m²,,,,aluguel
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",,Aluguel Sala 1261 m²,63.065,1261 m²,,,,aluguel
"SHS Quadra 06 Conjunto A Bloco D, ASA SUL, BRASILIA",,Aluguel Loja 86 m²,10.285,86 m²,,,,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 610 m²,19.500,610 m²,4 Quartos,,2 Vagas,aluguel
"SQSW 500, SUDOESTE, BRASILIA",,Aluguel Apartamento 178 m²,26.000,178 m²,4 Quartos,,3 Vagas,aluguel
"Rua 12, NORTE, AGUAS CLARAS",,Aluguel Loja 512 m²,39.900,512 m²,,,,aluguel
"EQS 114/115, ASA SUL, BRASILIA",,Aluguel Loja 70 m²,4.500,70 m²,,,,aluguel
"SMDB Conjunto 18, LAGO SUL, BRASILIA",,Aluguel Casa 600 m²,39.000,600 m²,5 Quartos,,2 Vagas,aluguel
"SHIS QI 11 Conjunto 3, LAGO SUL, BRASILIA",,Aluguel Casa 750 m²,31.000,750 m²,5 Quartos,,6 Vagas,aluguel
"SQSW 300 Bloco A, SUDOESTE, BRASILIA",,Aluguel Apartamento 560 m²,32.000,560 m²,4 Quartos,,4 Vagas,aluguel
"SQS 303 Bloco F, ASA SUL, BRASILIA",,Aluguel Apartamento 170 m²,12.500,170 m²,4 Quartos,,1 Vaga,aluguel
"Rua 8, SUL, AGUAS CLARAS",,Aluguel Apartamento 97 m²,3.600,97 m²,3 Quartos,,1 Vaga,aluguel
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 500 m²,8.000,500 m²,5 Quartos,,4 Vagas,aluguel
"QNG 34, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Casa 60 m²,950,60 m²,1 Quarto,,2 Vagas,aluguel
"SHIS QI 15 Chacará S 33 A 40, LAGO SUL, BRASILIA",,Aluguel Casa 825 m²,45.000,825 m²,5 Quartos,,16 Vagas,aluguel
"CLNW 10/11 Lote K, NOROESTE, BRASILIA",,Aluguel Apartamento 20 m²,2.200,20 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QL 28, LAGO SUL, BRASILIA",,Aluguel Casa 930 m²,32.000,930 m²,5 Quartos,,8 Vagas,aluguel
"CLN 403 Bloco E, ASA NORTE, BRASILIA",,Aluguel Apartamento 90 m²,4.500,90 m²,3 Quartos,,,aluguel
"Rua 37, SUL, AGUAS CLARAS",,Aluguel Loja 140 m²,4.500,140 m²,,,,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 409 m²,28.684,409 m²,,,72 Vagas,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 798 m²,25.000,798 m²,3 Quartos,,3 Vagas,aluguel
"Chácaras Estância Santa Paula, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 400 m²,4.000,400 m²,3 Quartos,,5 Vagas,aluguel
"SBS Quadra 2, ASA SUL, BRASILIA",,Aluguel Sala 227 m²,27.600,227 m²,,,10 Vagas,aluguel
"SQN 216 Bloco A, ASA NORTE, BRASILIA",,Aluguel Apartamento 75 m²,5.500,75 m²,2 Quartos,,,aluguel
"Quadra 2, SETOR DE INDUSTRIAS BERNARDO SAYAO, NUCLEO BANDEIRANTE",,Aluguel Prédio 1700 m²,50.000,1700 m²,,,25 Vagas,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 35 m²,2.450,35 m²,,,72 Vagas,aluguel
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 257 m²,9.200,257 m²,3 Quartos,,2 Vagas,aluguel
"CND 1, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Apartamento 54 m²,1.600,54 m²,1 Quarto,,1 Vaga,aluguel
"Praça de Atividades 1, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Sala 40 m²,1.800,40 m²,,,,aluguel
"SHIS QL 12 Conjunto 9, LAGO SUL, BRASILIA",,Aluguel Casa 1190 m²,60.000,1190 m²,17 Quartos,,6 Vagas,aluguel
"Rua 17, SUL, AGUAS CLARAS",,Aluguel Apartamento 34 m²,1.900,34 m²,1 Quarto,,1 Vaga,aluguel
"SHIGS 703 Bloco M, ASA SUL, BRASILIA",,Aluguel Casa 313 m²,7.500,313 m²,3 Quartos,,1 Vaga,aluguel
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 520 m²,8.900,520 m²,6 Quartos,,5 Vagas,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,Aluguel Apartamento 74 m²,5.500,74 m²,2 Quartos,,2 Vagas,aluguel
"SHIS QL 28 Conjunto 4, LAGO SUL, BRASILIA",,Aluguel Casa 447 m²,19.600,447 m²,4 Quartos,,2 Vagas,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Kitnet 26 m²,5.100,26 m²,1 Quarto,,1 Vaga,aluguel
