description,address,type,price,size,bedrooms,bathrooms,parking_spaces,modo
"QE 11, GUARA I, GUARA",,Aluguel Sala 48 m²,3.384,48 m²,,,72 Vagas,aluguel
"Quadra 20, SETOR OESTE, GAMA",,Aluguel Casa 187 m²,3.300,187 m²,4 Quartos,,3 Vagas,aluguel
"AREA RURAL, SOBRADINHO, SOBRADINHO",,Aluguel Galpão 800 m²,10.000,800 m²,,,,aluguel
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",,Aluguel Sala 34 m²,3.726,34 m²,,,,aluguel
"Polo de Desenv Juscelino Kubitschek Trecho 6 Conjunto 5, PÓLO JK, SANTA MARIA",,Aluguel Galpão 7257 m²,175.000,7257 m²,,,,aluguel
"EQ 09/10 Bloco E, JARDIM BOTANICO, BRASILIA",,Aluguel Sala 35 m²,1.688,35 m²,,,,aluguel
"QNM 18 Conjunto A, CEILANDIA NORTE, CEILANDIA",,Aluguel Apartamento 60 m²,1.200,60 m²,2 Quartos,,,aluguel
"SCS Quadra 08 Bloco B LoteS 50/60, ASA SUL, BRASILIA",,Aluguel Sala 72 m²,2.892,72 m²,,,,aluguel
"SBS Quadra 2, ASA SUL, BRASILIA",,Aluguel Sala 480 m²,60.000,480 m²,,,10 Vagas,aluguel
"SRTVS, ASA SUL, BRASILIA",,Aluguel Sala 180 m²,10.000,180 m²,,,6 Vagas,aluguel
"SHIS QI 19, LAGO SUL, BRASILIA",,Aluguel Casa 565 m²,25.000,565 m²,4 Quartos,,4 Vagas,aluguel
"SCN Quadra 05 Bloco A, ASA NORTE, BRASILIA",,Aluguel Sala 33 m²,2.300,33 m²,,,,aluguel
"SHIS QL 22 Conjunto 3, LAGO SUL, BRASILIA",,Aluguel Casa 400 m²,13.000,400 m²,4 Quartos,,4 Vagas,aluguel
"QE 11, GUARA I, GUARA",,Aluguel Sala 409 m²,28.684,409 m²,,,72 Vagas,aluguel
"SHTN Trecho 2 Lote 3, ASA NORTE, BRASILIA",,Aluguel Apartamento 31 m²,3.500,31 m²,1 Quarto,,1 Vaga,aluguel
"Condomínio Querência, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 257 m²,9.200,257 m²,3 Quartos,,2 Vagas,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,Aluguel Apartamento 74 m²,5.500,74 m²,2 Quartos,,2 Vagas,aluguel
"QNG 34, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Casa 60 m²,950,60 m²,1 Quarto,,2 Vagas,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,Aluguel Kitnet 26 m²,5.000,26 m²,1 Quarto,,1 Vaga,aluguel
"Quadra 101, NORTE, AGUAS CLARAS",,Aluguel Apartamento 162 m²,5.500,162 m²,3 Quartos,,3 Vagas,aluguel
"SQSW 300 Bloco I, SUDOESTE, BRASILIA",,Aluguel Apartamento 240 m²,20.000,240 m²,4 Quartos,,4 Vagas,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 134 m²,13.000,134 m²,4 Quartos,,2 Vagas,aluguel
"SHA Conjunto 5 Chacará 44, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa 336 m²,5.500,336 m²,5 Quartos,,4 Vagas,aluguel
"QC 11 Rua I, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Casa 131 m²,4.500,131 m²,3 Quartos,,3 Vagas,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Apartamento 135 m²,17.900,135 m²,3 Quartos,,2 Vagas,aluguel
"SQS 106 Bloco G, ASA SUL, BRASILIA",,Aluguel Apartamento 140 m²,6.500,140 m²,3 Quartos,,,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Loja 147 m²,35.000,147 m²,,,,aluguel
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 800 m²,14.000,800 m²,4 Quartos,,4 Vagas,aluguel
"SIG Quadra 3 Bloco C, SIG, BRASILIA",,Aluguel Loja 384 m²,18.000,384 m²,,,,aluguel
"SMPW Quadra 8, PARK WAY, BRASILIA",,Aluguel Casa 1000 m²,20.900,1000 m²,6 Quartos,,,aluguel
"SMAS, PARK SUL, BRASILIA",,Aluguel Apartamento 87 m²,6.200,87 m²,3 Quartos,,2 Vagas,aluguel
"Rua 12, NORTE, AGUAS CLARAS",,Aluguel Apartamento 81 m²,3.000,81 m²,2 Quartos,,1 Vaga,aluguel
"Rua COPAIBA, NORTE, AGUAS CLARAS",,Aluguel Apartamento 51 m²,2.500,51 m²,2 Quartos,,1 Vaga,aluguel
"QS 7 Rua 820, AREAL, AGUAS CLARAS",,Aluguel Loja 670 m²,38.000,670 m²,,,7 Vagas,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 98 m²,10.500,98 m²,3 Quartos,,2 Vagas,aluguel
"Quadra 301 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Apartamento 50 m²,2.150,50 m²,2 Quartos,,1 Vaga,aluguel
"Rua ARAGUAIA, CHACARAS YPIRANGA, VALPARAISO DE GOIAS",,"Aluguel Rural 0,10 ha",20.000,,,,,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,Aluguel Apartamento 74 m²,5.500,74 m²,2 Quartos,,2 Vagas,aluguel
"CLNW 10/11 Lote K, NOROESTE, BRASILIA",,Aluguel Apartamento 20 m²,2.200,20 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QI 15 Chacará S 33 A 40, LAGO SUL, BRASILIA",,Aluguel Casa 825 m²,45.000,825 m²,5 Quartos,,16 Vagas,aluguel
"Chácaras Estância Santa Paula, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 400 m²,4.000,400 m²,3 Quartos,,5 Vagas,aluguel
"SHIS QL 8, LAGO SUL, BRASILIA",,Aluguel Ponto Comercial 600 m²,32.000,600 m²,7 Quartos,,30 Vagas,aluguel
"CLNW 10/11 Lote C, NOROESTE, BRASILIA",,Aluguel Apartamento 32 m²,2.800,32 m²,1 Quarto,,1 Vaga,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 798 m²,25.000,798 m²,3 Quartos,,3 Vagas,aluguel
"SGCV, PARK SUL, BRASILIA",,Aluguel Apartamento 44 m²,2.700,44 m²,1 Quarto,,1 Vaga,aluguel
"Rua 4, VICENTE PIRES, VICENTE PIRES",,Aluguel Loja 33 m²,1.550,33 m²,,,,aluguel
"Condomínio Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 550 m²,16.500,550 m²,4 Quartos,,4 Vagas,aluguel
