description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type
"SQSW 300 Bloco A, SUDOESTE, BRASILIA",,apartamento,32000.0,560.0,4.0,,4.0,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,8389.0,164.0,4.0,,3.0,aluguel
"SQSW 500, SUDOESTE, BRASILIA",,apartamento,26000.0,178.0,4.0,,3.0,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,kitnet,4900.0,26.0,1.0,,1.0,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,10150.0,162.0,4.0,,3.0,aluguel
"SQS 409 Bloco H, ASA SUL, BRASILIA",,apartamento,4200.0,86.0,3.0,,,aluguel
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,7000.0,70.0,2.0,,1.0,aluguel
"SQNW 309, NOROESTE, BRASILIA",,apartamento,9800.0,201.0,3.0,,2.0,aluguel
"SMAS Trecho 1 C, PARK SUL, BRASILIA",,apartamento,6200.0,77.0,2.0,,2.0,aluguel
"Rua 33, NORTE, AGUAS CLARAS",,apartamento,7000.0,164.0,3.0,,2.0,aluguel
"CLNW 10/11 Lote C, NOROESTE, BRASILIA",,apartamento,2800.0,32.0,1.0,,1.0,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,4000.0,104.0,3.0,,2.0,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,kitnet,5100.0,26.0,1.0,,1.0,aluguel
"SMAS, PARK SUL, BRASILIA",,apartamento,6200.0,87.0,3.0,,2.0,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,3800.0,104.0,3.0,,2.0,aluguel
"Rua 25, NORTE, AGUAS CLARAS",,apartamento,3000.0,64.0,2.0,,2.0,aluguel
"Rua 24, SUL, AGUAS CLARAS",,apartamento,2700.0,54.0,2.0,,1.0,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,5500.0,74.0,2.0,,2.0,aluguel
"SGCV, PARK SUL, BRASILIA",,apartamento,17900.0,135.0,3.0,,2.0,aluguel
"CLNW 10/11 Lote K, NOROESTE, BRASILIA",,apartamento,2200.0,20.0,1.0,,1.0,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,13000.0,134.0,4.0,,2.0,aluguel
"SQNW 303 Bloco F, NOROESTE, BRASILIA",,apartamento,15900.0,201.0,4.0,,4.0,aluguel
"Condomínio Jardim Botânico I, JARDIM BOTANICO, BRASILIA",,apartamento,2300.0,25.0,1.0,,,aluguel
"SQN 116 Bloco B, ASA NORTE, BRASILIA",,apartamento,22000.0,339.0,3.0,,3.0,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,kitnet,5000.0,26.0,1.0,,1.0,aluguel
"SHTN Trecho 1, ASA NORTE, BRASILIA",,apartamento,4290.0,60.0,2.0,,2.0,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,10500.0,98.0,3.0,,2.0,aluguel
"SGCV, PARK SUL, BRASILIA",,apartamento,2700.0,44.0,1.0,,1.0,aluguel
"Rua 33, SUL, AGUAS CLARAS",,apartamento,4200.0,103.0,3.0,,2.0,aluguel
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,5500.0,162.0,3.0,,3.0,aluguel
"Rua 37, SUL, AGUAS CLARAS",,apartamento,3600.0,70.0,1.0,,1.0,aluguel
"SQN 314, ASA NORTE, BRASILIA",,apartamento,5500.0,139.0,3.0,,1.0,aluguel
"Alameda Gravatá Quadra 301, NORTE, AGUAS CLARAS",,apartamento,2230.0,60.0,2.0,,,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,8800.0,165.0,4.0,,3.0,aluguel
"SHTN Trecho 1, ASA NORTE, BRASILIA",,apartamento,9013.0,96.0,2.0,,,aluguel
"Rua 12, JARDIM CEU AZUL, VALPARAISO DE GOIAS",,apartamento,800.0,45.0,2.0,,1.0,aluguel
"QI 5 Bloco O, GUARA I, GUARA",,apartamento,2800.0,82.0,3.0,,1.0,aluguel
