description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"Quadra 102SAMAMBAIA SUL, SAMAMBAIA",,apartamento,239000.0,31.0,1.0,,,venda,-15.7081709,-47.9148844
"Área Especial 02 Módulo E, GUARA II, GUARA",,apartamento,750000.0,60.0,2.0,,2.0,venda,-15.8324279,-47.9873757
"CA 11LAGO NORTE, BRASILIA",,apartamento,,78.0,3.0,,,venda,-15.7106295,-47.8909134
"QN 303 Conjunto 2SAMAMBAIA SUL, SAMAMBAIA",,apartamento,193000.0,27.0,1.0,,,venda,-15.8791081,-48.10352690000001
"QRSW 5, SUDOESTE, BRASILIA",,apartamento,735000.0,56.0,2.0,,,venda,-15.7879045,-47.9301688
"SQNW 302 Bloco HNOROESTE, BRASILIA",,apartamento,,144.0,2.0,,,venda,-15.766856,-47.9108948
"SQNW 102 Bloco A, NOROESTE, BRASILIA",,apartamento,4840.0,339.0,3.0,,4.0,venda,-15.766651,-47.9089478
"SQNW 106 Bloco F, NOROESTE, BRASILIA",,apartamento,4280.0,272.0,4.0,,4.0,venda,-15.7561718,-47.9094403
"SQN 215ASA NORTE, BRASILIA",,apartamento,2776.0,160.0,4.0,,,venda,-15.7432589,-47.9014325
"SQS 107, ASA SUL, BRASILIA",,apartamento,2850.0,245.0,4.0,,1.0,venda,-15.8142336,-47.9014186
"SQSW 500 Bloco RSUDOESTE, BRASILIA",,apartamento,,139.0,3.0,,,venda,-15.7856059,-47.920991
"SQNW 104 Bloco D, NOROESTE, BRASILIA",,apartamento,2790.0,184.0,4.0,,4.0,venda,-15.7616698,-47.9083039
"Avenida FlamboyantNORTE, AGUAS CLARAS",,apartamento,1610.0,126.0,4.0,,,venda,-15.8353561,-48.0332681
"SQS 214 Bloco J, ASA SUL, BRASILIA",,apartamento,1699.0,122.0,3.0,,,venda,-15.8307167,-47.9175495
"SQNW 111 Bloco GNOROESTE, BRASILIA",,apartamento,,153.0,4.0,,,venda,-15.7413882,-47.9116094
"SQS 304, ASA SUL, BRASILIA",,apartamento,2300.0,178.0,3.0,,,venda,-15.8062463,-47.8961649
"Rua 24NORTE, AGUAS CLARAS",,apartamento,636451.0,54.0,2.0,,,venda,-15.8384319,-48.0287349
"SQSW 500SUDOESTE, BRASILIA",,apartamento,5403.0,241.0,4.0,,,venda,-15.7859792,-47.9215024
"CA 11, LAGO NORTE, BRASILIA",,apartamento,1190.0,80.0,2.0,,1.0,venda,-15.7136528,-47.8880785
"SQNW 110 Bloco D, NOROESTE, BRASILIA",,apartamento,3800.0,262.0,4.0,,3.0,venda,-15.7440264,-47.9110622
"SQSW 500SUDOESTE, BRASILIA",,apartamento,4082.0,200.0,4.0,,,venda,-15.7859792,-47.9215024
"CCSW 3, SUDOESTE, BRASILIA",,apartamento,4500.0,305.0,4.0,,4.0,venda,-15.7981683,-47.9289319
"SQSW 104, SUDOESTE, BRASILIA",,apartamento,3290.0,240.0,4.0,,2.0,venda,-15.8042534,-47.9286227
"Avenida FlamboyantNORTE, AGUAS CLARAS",,apartamento,1139.0,89.0,3.0,,,venda,-15.8353561,-48.0332681
"SQNW 102 Bloco K, NOROESTE, BRASILIA",,apartamento,3270.0,245.0,3.0,,3.0,venda,-15.7671098,-47.9075588
"SQN 309, ASA NORTE, BRASILIA",,apartamento,3555.0,298.0,5.0,,3.0,venda,-15.7608957,-47.8890577
"SQSW 500 Bloco PSUDOESTE, BRASILIA",,apartamento,,239.0,4.0,,,venda,-15.7856059,-47.920991
"SQNW 104 Bloco J, NOROESTE, BRASILIA",,apartamento,3572.0,197.0,3.0,,4.0,venda,-15.7621704,-47.9098885
"SQNW 107 Bloco HNOROESTE, BRASILIA",,apartamento,,213.0,4.0,,,venda,-15.7533873,-47.9101006
"SGCVPARK SUL, BRASILIA",,apartamento,975000.0,60.0,2.0,,,venda,-15.7975154,-47.89188739999999
"SQNW 303 Bloco I, NOROESTE, BRASILIA",,apartamento,3425.0,201.0,4.0,,3.0,venda,-15.7635355,-47.9118915
"SGCV Lote 1, PARK SUL, BRASILIA",,apartamento,1361.0,86.0,2.0,,2.0,venda,-15.819561,-47.9530786
"SQNW 306NOROESTE, BRASILIA",,apartamento,1300.0,64.0,2.0,,,venda,-15.7563214,-47.9111413
"CRNW 511, NOROESTE, BRASILIA",,apartamento,620000.0,43.0,1.0,,1.0,venda,-15.7535806,-47.9138055
"SQNW 110 Bloco D, NOROESTE, BRASILIA",,apartamento,3800.0,262.0,4.0,,3.0,venda,-15.7440264,-47.9110622
"SQNW 108 Bloco C, NOROESTE, BRASILIA",,apartamento,3100.0,212.0,3.0,,3.0,venda,-15.7505203,-47.9093573
"CLNW 4/5 Lote ENOROESTE, BRASILIA",,apartamento,900000.0,56.0,2.0,,,venda,-15.760475,-47.9106952
"SQSW 103, SUDOESTE, BRASILIA",,apartamento,2295.0,159.0,4.0,,1.0,venda,-15.8022027,-47.92491219999999
"SQNW 110, NOROESTE, BRASILIA",,apartamento,4490.0,378.0,4.0,,4.0,venda,-15.7445521,-47.9104968
"SQNW 310, NOROESTE, BRASILIA",,apartamento,1249.0,84.0,2.0,,2.0,venda,-15.7447981,-47.9131549
