description,type,price,size,bedrooms,car_spaces
"Csa 03, Taguatinga Sul (taguatinga) · Brasília",apartamento,2.140,55 m²,2 quartos,0 vaga
"Cse 5, Taguatinga Sul (taguatinga) · Brasília",apartamento,1.176,48 m²,2 quartos,1 vaga
"Qs 8 Conjunto 220, Areal (águas Claras) · Brasília",Apartamento,1.129,30 m²,1 quarto,0 vaga
"Srpn Sqnw Clnw 1011 Bloco F - Brasília Df Brasil, Sqnw · Brasília",Studio,2.961,36 m²,1 quarto,0 vaga
"Sqn 307, Asa Norte · Brasília",Apartamento,10.130,125 m²,3 quartos,1 vaga
"Quadra 4 Conjunto L Sof Norte, Setor Oeste (Sobradinho II) · Brasília",Apartamento,2.603,128 m²,2 quartos,1 vaga
"Avenida Sibipiruna, Sul (águas Claras) · Brasília",Apartamento,,56 m²,2 quartos,1 vaga
"Setor de Habitações Individuais Norte Ca 5, Setor de Habitações Individuais Norte · Brasília",Studio,,39 m²,1 quarto,0 vaga
"Qr 406 Conjunto 21 A, Samambaia Norte (samambaia) · Brasília",apartamento,4.000,60 m²,3 quartos,1 vaga
"Quadra Qi 18, Taguatinga · Brasília",Apartamento,2.339,66 m²,2 quartos,1 vaga
"Qsb 10, Taguatinga Sul · Brasília",casa,1.848,74 m²,2 quartos,1 vaga
"Rua 4, Setor Habitacional Vicente Pires · Brasília",Casa,4.024,400 m²,3 quartos,2 vagas
"Quadra 07, Varjão · Brasília",Studio,1.439,32 m²,1 quarto,0 vaga
"Quadra 205, Q 205 · Brasília",Apartamento,7.971,80 m²,2 quartos,1 vaga
"Qsd 53, Taguatinga Sul (taguatinga) · Brasília",Apartamento,1.206,28 m²,1 quarto,0 vaga
"Qr 408 Conjunto 24a 24, Qr 408 · Brasília",Apartamento,4.957,30 m²,1 quarto,0 vaga
"0 - St. de Habitações Individuais Sul Qi 23 - Lago Sul Brasília - Df 71660-000 Brasil, Qi 23 · Brasília",apartamento,1.362,380 m²,1 quarto,2 vagas
"Qe 46 Área Especial Edifício Valentina, Guará Ii · Brasília",studio,1.377,30 m²,1 quarto,1 vaga
"Setor de Indústrias Gráficas, Centro · Brasília",apartamento,14.890,53 m²,1 quarto,1 vaga
"Rua 37 Norte, Águas Claras · Brasília",apartamento,3.166,57 m²,2 quartos,1 vaga
"Shcnw Sqnw - Brasília Df Brasil, Setor Noroeste · Brasília",Studio,1.355,51 m²,1 quarto,1 vaga
"Rua 16, Guará Ii  · Brasília",Apartamento,4.328,50 m²,1 quarto,0 vaga
"Águas Claras Brasília - Df 71929-540 Brasil, Aguas Claras · Brasília",apartamento,3.994,40 m²,1 quarto,1 vaga
"0 - Qr 406 -  Conjunto 21 A  Lote 1 Edificio Genova  Apt 305 Samambaia Norte Brasília - Df 72318-200 Brasil, Samambaia Norte (Samambaia) · Brasília",apartamento,1.667,58 m²,2 quartos,1 vaga
"6 - Sh Mansões Sobradinho Condomínio Mini-chácaras - Sobradinho Brasília - Df Brasil, Condomínio Mini-chácaras · Brasília",Apartamento,2.533,45 m²,1 quarto,0 vaga
"Rua 25 Sul, Sul (águas Claras) · Brasília",apartamento,1.790,34 m²,1 quarto,1 vaga
"Quadra 105, Águas Claras · Brasília",apartamento,841,190 m²,3 quartos,2 vagas
"Quadra Shis Qi 23 Conjunto 3, Lago Sul · Brasília",Casa,2.580,453 m²,7 quartos,3 vagas
"Qnl 17, Taguatinga Norte (taguatinga) · Brasília",Apartamento,11.380,84 m²,2 quartos,0 vaga
" Quadra 301 Conjunto 8, Samambaia Sul (Samambaia) · Brasília",Apartamento,20.980,50 m²,2 quartos,1 vaga
"Sgcv, Zona Industrial (guará) · Brasília",apartamento,1.499,29 m²,1 quarto,1 vaga
"Rua 25 Sul Lote 30, Sul (águas Claras) · Brasília",apartamento,2.754,37 m²,1 quarto,1 vaga
"Estância Quintas da Alvorada, Setor Habitacional Jardim Botânico (lago Sul) · Brasília",Casa,2.512,350 m²,3 quartos,3 vagas
"Clnw 1011 Lote I, Setor Noroeste · Brasília",apartamento,2.844,33 m²,1 quarto,1 vaga
"Sces Trecho 4, Asa Sul · Brasília",Apartamento,5.691,45 m²,1 quarto,1 vaga
"Guará Ii Qe 42 - Guará Brasília - Df 71070-420 Brasil, Qe 42 · Brasília",studio,3.728,35 m²,1 quarto,0 vaga
"Rua 17 Chacará 180 A, Setor Habitacional Samambaia (taguatinga) · Brasília",Studio,6.260,47 m²,1 quarto,0 vaga
"Qr 412, Conjunto F, Lote 01, Samambaia Norte (samambaia) · Brasília",Apartamento,982,35 m²,1 quarto,0 vaga
"6 - Sh Mansões Sobradinho Condomínio Mini-chácaras - Sobradinho Brasília - Df Brasil, Condomínio Mini-chácaras · Brasília",Apartamento,1.349,45 m²,1 quarto,0 vaga
"Shtn Trecho 1 Lote 2 Bloco 3, Asa Norte · Brasília",Apartamento,2.272,63 m²,2 quartos,2 vagas
"Rua 8, Vila São José (taguatinga) · Brasília",Studio,841,30 m²,1 quarto,0 vaga
"Setor F Sul Qsf 9, Taguatinga · Brasília",casa,7.317,169 m²,2 quartos,3 vagas
"St. de Indústrias Gráficas Conj. E - Taguatinga Brasília - Df Brasil, Conjunto E · Brasília",Apartamento,699,52 m²,1 quarto,1 vaga
"Cln 313, Cln 313 · Brasília",,2.644,23 m²,,0 vaga
"Setor Shtn, Asa Norte · Brasília",apartamento,1.134,60 m²,1 quarto,1 vaga
"37 - St. E Norte Qne 8 - Taguatinga Brasília - Df 72125-080 Brasil, Taguatinga Norte (taguatinga) · Brasília",Casa,1.748,162 m²,3 quartos,2 vagas
"Quadra 7 Conjunto A Kit 4. Varjao Lago Norte Df, Varjão · Brasília",Studio,5.388,32 m²,1 quarto,0 vaga
"Quadra Shis Qi 29 Conjunto 11, Qi 29 · Brasília",Casa,6.460,650 m²,5 quartos,6 vagas
"Rua 20 Sul, Sul (águas Claras) · Brasília",apartamento,1.122,134 m²,3 quartos,2 vagas
"Qi 19 Lotes 1341- Torre C, Taguatinga Norte · Brasília",apartamento,22.040,84 m²,3 quartos,2 vagas
"Sres Quadra 4, Cruzeiro Velho · Brasília",Apartamento,9.007,50 m²,1 quarto,0 vaga
"Rua 19 Norte, Águas Claras · Brasília",Apartamento,4.238,64 m²,2 quartos,1 vaga
"Setor Central C7 Lote 5, Setor Central · Brasília",apartamento,1.383,76 m²,2 quartos,1 vaga
"Csb 2 Lote 05, Taguatinga Sul (taguatinga) · Brasília",Apartamento,4.980,65 m²,3 quartos,0 vaga
"Shcnw Sqnw - Brasília Df Brasil, Setor Noroeste · Brasília",studio,2.475,35 m²,1 quarto,1 vaga
"Bloco G - Brasília Df 70710-100 Brasil, Asa Norte · Brasília",Apartamento,3.130,45 m²,1 quarto,1 vaga
"Q. 209 - Águas Claras Brasília - Df 71930-750 Brasil, Quadra 209 · Brasília",apartamento,2.954,200 m²,3 quartos,2 vagas
"Avenida das Castanheiras, Águas Claras · Brasília",Apartamento,4.803,52 m²,2 quartos,1 vaga
"405 - Shcs Sqs 406 - Brasília Df 70239-020 Brasil, Sqs 406 · Brasília",apartamento,11.250,92 m²,1 quarto,0 vaga
"Cln 314 Bloco D, Asa Norte · Brasília",studio,3.274,34 m²,1 quarto,0 vaga
"Shn Quadra 1 Bloco D Área Especial A, Asa Norte · Brasília",Apartamento,5.492,35 m²,1 quarto,1 vaga
"Qnd 58, Taguatinga Norte (taguatinga) · Brasília",studio,1.763,21 m²,1 quarto,0 vaga
"Quadra Qn 614, Qn 614 · Brasília",Apartamento,6.034,30 m²,1 quarto,1 vaga
"Sepn 504 Bloco C, Asa Norte · Brasília",Studio,1.794,38 m²,1 quarto,1 vaga
"Qnn 05 Conjunto D Lote 07, Ceilândia Norte (Ceilândia) · Brasília",casa,2.392,80 m²,3 quartos,2 vagas
"Sig Lt 08 09, Taguatinga Norte (taguatinga) · Brasília",Apartamento,3.103,23 m²,1 quarto,0 vaga
"St. Sudoeste Qmsw 6 - St. Sudoeste Brasília - Df 70680-600 Brasil, Qmsw 6 · Brasília",studio,2.432,35 m²,1 quarto,0 vaga
"Guará I Qe 3 Conj. O - Guará Brasília - Df 71020-153 Brasil, Conjunto O · Brasília",Casa,1.009,400 m²,5 quartos,5 vagas
"Sh Contagem Condominío Recanto dos Nobres - Sobradinho Brasília - Df Brasil, Condominío Recanto dos Nobres · Brasília",apartamento,3.973,270 m²,1 quarto,5 vagas
